EmployeeID,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,DistanceFromHome,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,TrainingTimesLastYear,Attrition
42,22,Finance,Lead,74575,1,38,2,3,1,Yes,3,Yes
43,40,R&D,Lead,100742,21,17,3,4,1,No,2,No
44,48,Sales,Manager,38971,10,14,3,2,1,Yes,0,No
45,27,HR,Manager,45599,24,6,1,4,1,No,3,No
46,28,R&D,Lead,107592,12,35,1,1,1,No,4,No
47,55,Sales,Lead,86914,3,14,1,4,3,No,5,No
48,34,Sales,Associate,138062,21,8,1,3,3,Yes,1,No
49,37,IT,Analyst,87055,6,15,3,1,4,Yes,5,No
50,56,IT,Manager,107697,10,27,4,1,1,Yes,2,No
51,24,Sales,Analyst,126239,21,13,4,1,2,No,2,No
52,22,Sales,Associate,124397,23,31,2,3,1,Yes,5,No
53,26,Sales,Lead,143106,3,35,4,2,3,No,5,No
54,24,IT,Analyst,25355,14,6,3,4,1,No,3,No
55,49,Sales,Lead,74120,0,5,3,1,3,No,0,No
56,38,Sales,Lead,94619,22,22,3,1,4,No,4,No
57,46,IT,Executive,58342,2,23,2,1,4,Yes,3,Yes
58,54,Sales,Analyst,105992,13,25,1,2,4,Yes,1,Yes
59,30,IT,Analyst,98860,5,34,4,2,3,No,5,No
60,56,Sales,Lead,22257,17,26,3,3,1,No,1,No
61,34,Sales,Associate,47364,24,5,3,2,1,Yes,1,No
62,51,Sales,Executive,44972,0,26,1,4,2,Yes,3,Yes
63,35,IT,Lead,131715,5,20,3,3,3,No,4,No
64,28,Finance,Manager,46654,5,6,4,3,2,Yes,2,No
65,34,IT,Manager,100769,20,6,2,4,4,No,0,No
66,43,R&D,Executive,101423,15,18,3,4,1,No,2,No
67,41,IT,Associate,49320,4,4,4,4,3,Yes,4,No
68,36,Sales,Lead,40808,16,17,3,3,2,Yes,2,No
69,38,Sales,Analyst,72389,9,14,1,3,2,Yes,5,No
70,44,Finance,Executive,115690,20,14,3,3,2,No,5,No
71,46,Sales,Associate,138581,17,13,3,4,1,No,3,No
72,45,Sales,Analyst,147927,6,7,2,4,1,No,1,No
73,49,Sales,Manager,54773,2,15,1,1,1,No,4,No
74,35,Sales,Manager,71168,12,19,1,2,3,No,4,No
75,21,Sales,Analyst,47747,14,35,2,1,1,Yes,2,Yes
76,45,HR,Executive,96396,19,17,3,4,3,Yes,3,No
77,27,R&D,Manager,128374,18,35,4,3,2,No,2,No
78,29,Finance,Lead,127692,2,19,1,4,2,Yes,2,No
79,44,IT,Analyst,103692,3,20,1,2,4,Yes,4,No
80,21,R&D,Analyst,77505,4,36,3,1,1,No,2,No
81,28,Sales,Manager,105896,0,35,3,1,2,No,1,No
82,44,R&D,Executive,38135,3,32,1,3,1,No,2,No
83,31,HR,Lead,110887,11,24,3,1,3,No,1,No
84,37,Sales,Executive,142118,23,17,4,1,2,Yes,4,No
85,28,HR,Associate,116035,9,7,1,4,1,No,3,No
86,55,R&D,Associate,67377,22,1,4,1,2,Yes,5,No
87,55,HR,Manager,43554,24,35,4,1,2,No,1,No
88,53,R&D,Manager,82491,20,32,3,1,1,No,3,No
89,25,Sales,Manager,75621,19,36,4,3,2,Yes,3,No
90,59,Finance,Associate,134667,23,13,3,3,2,No,1,No
91,48,IT,Executive,78283,24,6,2,4,2,Yes,4,Yes
92,27,Sales,Executive,105140,12,14,3,1,2,No,0,No
93,29,Finance,Manager,36923,22,37,4,3,3,No,3,No
94,28,R&D,Lead,67591,13,15,2,3,2,No,3,No
95,32,Finance,Executive,82261,22,4,3,4,4,No,4,No
96,54,IT,Associate,136149,4,16,4,2,2,Yes,4,No
97,53,R&D,Analyst,74336,3,28,1,1,1,No,2,Yes
98,43,Sales,Analyst,94083,13,16,1,3,4,No,4,No
99,44,Sales,Analyst,80948,9,4,3,4,3,Yes,3,No
100,57,R&D,Lead,129819,16,26,3,4,4,No,1,No
101,55,HR,Manager,53002,9,28,1,4,4,No,0,No
102,42,Sales,Associate,100098,6,32,4,3,4,Yes,2,No
103,47,Sales,Lead,136236,15,2,4,1,1,No,1,No
104,55,IT,Associate,93016,0,31,4,2,1,Yes,0,Yes
105,21,Finance,Associate,46672,16,3,3,1,1,No,0,No
106,55,R&D,Manager,24213,20,8,2,4,3,Yes,0,Yes
107,57,Sales,Analyst,30293,8,24,2,4,1,No,5,No
108,34,Sales,Manager,119977,5,15,2,2,1,No,1,No
109,23,Sales,Lead,75860,18,31,2,1,4,No,2,Yes
110,21,Finance,Lead,82507,12,9,2,4,1,No,2,No
111,25,Sales,Lead,77134,2,39,3,4,2,No,0,No
112,46,HR,Manager,22100,6,2,3,1,1,No,1,No
113,34,Sales,Associate,130153,21,8,2,4,3,Yes,5,Yes
114,59,HR,Associate,81997,8,7,3,1,3,No,0,No
115,47,IT,Executive,48172,21,39,3,4,2,No,4,No
116,29,IT,Lead,40132,4,16,2,1,3,No,2,No
117,35,Sales,Associate,137861,9,35,4,2,3,No,3,No
118,35,Sales,Executive,38199,22,30,3,4,4,No,0,No
119,46,Sales,Associate,56609,16,10,4,2,2,No,4,No
120,33,Finance,Lead,62965,11,38,3,4,4,No,2,No
121,52,Finance,Analyst,28016,22,18,3,4,4,Yes,5,No
122,59,HR,Lead,59779,15,5,2,3,1,No,1,No
123,52,HR,Manager,122797,2,29,3,1,2,No,2,No
124,24,IT,Associate,51881,24,39,1,2,1,No,1,No
125,50,Sales,Associate,102594,21,34,1,2,1,No,1,Yes
126,57,Finance,Manager,44472,8,23,2,2,4,Yes,5,Yes
127,43,R&D,Manager,126882,14,5,4,1,3,No,5,No
128,59,R&D,Analyst,120462,4,30,4,3,2,No,0,No
129,35,R&D,Associate,71813,22,6,4,2,3,Yes,0,No
130,49,Sales,Associate,120368,12,4,1,1,4,No,2,No
131,56,Sales,Analyst,146731,13,29,4,4,4,Yes,5,No
132,33,IT,Executive,56021,19,23,4,2,4,No,4,No
133,52,Sales,Analyst,74131,14,6,2,2,4,Yes,2,Yes
134,27,HR,Lead,44087,15,32,4,3,4,No,3,No
135,42,Sales,Associate,32828,22,18,1,2,4,No,1,Yes
136,48,R&D,Manager,81610,12,15,1,2,3,No,1,No
137,22,Sales,Lead,116664,16,32,1,4,1,No,0,No
138,26,R&D,Associate,143619,22,9,2,1,3,No,4,Yes
139,48,IT,Analyst,21401,7,37,2,1,2,Yes,5,Yes
140,48,Sales,Lead,105179,20,10,3,3,3,Yes,5,No
141,40,HR,Associate,35193,1,20,4,4,4,No,0,No
142,50,R&D,Executive,112389,4,6,2,1,3,Yes,3,Yes
143,31,IT,Executive,64864,5,3,1,4,1,No,2,No
144,48,Finance,Manager,40307,11,11,1,1,2,No,2,No
145,45,IT,Associate,122518,17,17,2,4,3,No,4,No
146,59,Sales,Executive,39611,21,32,2,3,1,No,0,No
147,53,Sales,Analyst,63791,21,4,2,2,3,Yes,0,Yes
148,21,Sales,Associate,31950,0,4,3,3,2,No,3,No
149,47,HR,Analyst,96240,16,17,1,1,3,No,2,No
150,33,Sales,Analyst,128647,10,19,3,3,4,No,0,No
151,23,R&D,Executive,97403,9,5,3,2,3,No,5,No
152,59,HR,Associate,22745,18,32,4,3,1,Yes,4,No
153,26,R&D,Lead,75243,13,22,1,1,3,No,2,Yes
154,28,IT,Executive,23866,9,6,1,1,1,No,3,No
155,47,Sales,Executive,52245,14,35,2,3,2,No,4,No
156,29,Sales,Associate,64724,18,22,2,2,3,Yes,1,Yes
157,57,IT,Associate,148681,3,1,4,3,2,No,5,No
158,53,R&D,Analyst,91354,1,20,3,2,2,No,3,No
159,44,IT,Associate,71374,8,22,2,4,3,Yes,4,No
160,35,R&D,Analyst,134397,9,11,2,2,1,No,0,No
161,52,Sales,Executive,137480,10,13,1,4,2,No,1,No
162,52,IT,Manager,144577,13,3,1,3,2,No,3,No
163,44,IT,Lead,50116,6,9,2,2,3,No,0,No
164,32,IT,Executive,101029,22,12,1,4,3,Yes,5,No
165,59,Sales,Associate,113574,14,23,4,4,3,No,1,No
166,22,HR,Lead,40447,21,14,2,4,3,No,2,No
167,23,R&D,Manager,50431,18,33,1,1,3,No,0,Yes
168,57,Sales,Manager,37908,21,18,4,3,4,No,4,No
169,37,Finance,Analyst,49336,14,9,1,4,3,No,3,No
170,22,Sales,Lead,60992,23,23,1,2,1,Yes,1,Yes
171,22,Finance,Analyst,75350,7,10,1,4,2,No,0,No
172,48,R&D,Executive,89561,10,19,2,1,1,No,2,No
173,43,Sales,Lead,137254,8,5,3,3,1,No,3,No
174,57,R&D,Executive,71955,14,23,1,1,4,No,3,Yes
175,52,Finance,Analyst,81240,0,30,4,1,3,No,0,No
176,53,IT,Lead,40093,0,25,2,1,2,No,2,Yes
177,21,IT,Analyst,26155,18,28,2,2,1,Yes,5,Yes
178,39,IT,Lead,66607,2,34,4,3,3,No,5,No
179,22,IT,Analyst,53487,9,25,1,3,3,No,1,No
180,46,IT,Manager,133194,7,10,3,2,4,No,0,No
181,52,Sales,Analyst,75668,14,14,1,3,4,No,1,No
182,26,R&D,Manager,40963,9,30,4,1,4,No,5,No
183,52,Sales,Analyst,70124,0,25,2,3,2,No,3,No
184,24,Finance,Lead,72870,17,14,3,2,1,No,1,No
185,31,Finance,Lead,76547,1,35,2,1,4,No,2,Yes
186,37,Sales,Lead,84110,18,34,4,2,4,No,4,No
187,58,IT,Associate,73554,12,10,1,4,4,No,5,No
188,44,Finance,Executive,40936,21,35,3,1,1,No,5,No
189,25,Sales,Lead,136895,0,11,2,1,1,No,2,No
190,54,HR,Manager,24426,1,11,2,3,4,No,1,Yes
191,26,Finance,Lead,108839,15,21,2,1,4,No,0,No
192,42,Sales,Associate,130816,14,21,1,2,3,No,3,No
193,31,IT,Manager,47606,12,22,3,3,4,Yes,4,No
194,36,Sales,Associate,67832,15,7,1,4,2,Yes,0,Yes
195,53,Finance,Manager,48151,16,17,1,2,2,No,0,No
196,29,Finance,Analyst,99303,20,2,1,4,4,No,2,No
197,26,Finance,Executive,31308,6,12,4,4,1,No,1,No
198,36,R&D,Executive,129781,23,18,4,4,3,No,5,No
199,49,Finance,Associate,82522,16,11,4,1,1,Yes,5,No
200,23,IT,Executive,143523,6,16,3,2,4,No,2,No
201,40,R&D,Associate,65671,12,18,1,2,2,No,1,No
202,56,IT,Associate,110306,4,35,1,1,3,No,2,Yes
203,39,Sales,Associate,114108,16,26,4,3,1,No,5,No
204,46,HR,Executive,126984,2,16,1,4,1,Yes,0,No
205,23,Sales,Associate,22204,6,6,1,2,4,Yes,3,Yes
206,39,Sales,Executive,112769,16,12,2,1,3,No,1,No
207,40,Sales,Associate,107265,6,13,1,4,2,No,4,No
208,52,IT,Lead,51131,20,4,2,3,4,No,4,No
209,27,R&D,Associate,72428,0,39,1,3,3,Yes,0,Yes
210,53,IT,Manager,53870,16,2,3,4,1,Yes,2,No
211,59,Sales,Associate,123547,16,26,4,3,4,No,2,No
212,38,R&D,Analyst,124918,10,27,2,2,1,No,5,No
213,21,R&D,Associate,69067,24,27,4,2,1,No,0,No
214,31,IT,Manager,78585,2,15,2,2,4,Yes,5,Yes
215,48,R&D,Manager,127011,14,8,2,3,4,No,5,No
216,45,HR,Executive,132217,20,7,2,2,4,Yes,4,Yes
217,43,Finance,Lead,41607,10,12,3,1,4,Yes,5,No
218,51,HR,Associate,44968,15,13,1,2,4,No,5,No
219,50,Sales,Executive,118934,24,17,2,2,1,Yes,4,Yes
220,55,Sales,Lead,31908,21,17,3,3,2,Yes,2,No
221,27,Finance,Associate,46423,8,36,2,2,2,No,1,Yes
222,36,Sales,Analyst,129151,23,21,1,4,4,No,3,No
223,46,Finance,Associate,94707,23,8,2,1,1,No,5,No
224,22,R&D,Manager,98257,0,5,3,3,2,No,1,No
225,21,Finance,Manager,146282,24,26,1,1,2,Yes,4,Yes
226,32,IT,Analyst,81215,21,16,3,4,2,Yes,1,No
227,25,Finance,Executive,75835,15,36,1,3,1,No,3,No
228,57,R&D,Lead,69429,8,28,1,3,4,No,1,No
229,52,IT,Associate,102152,18,29,4,2,4,No,1,No
230,29,R&D,Manager,128048,11,12,4,1,4,Yes,1,No
231,55,R&D,Executive,58458,18,37,4,4,3,No,1,No
232,39,HR,Analyst,66169,21,30,1,4,3,Yes,0,No
233,36,Finance,Manager,27659,8,23,2,3,3,No,5,No
234,23,Finance,Analyst,80614,6,16,3,2,1,No,4,No
235,40,IT,Associate,128905,13,14,3,3,2,No,3,No
236,44,R&D,Lead,97240,18,10,3,3,2,No,4,No
237,53,R&D,Manager,52793,18,7,4,3,1,No,0,No
238,44,IT,Manager,133688,1,37,1,3,1,No,0,No
239,31,Sales,Associate,66473,8,29,4,4,4,No,0,No
240,28,Sales,Executive,116762,12,3,2,4,4,Yes,5,Yes
241,56,R&D,Lead,109388,14,15,1,3,3,No,0,No
242,58,Sales,Manager,117618,2,36,3,3,3,Yes,1,No
243,40,Sales,Lead,108330,10,19,4,2,1,No,4,No
244,55,Sales,Manager,126956,20,13,4,3,3,No,2,No
245,45,Sales,Lead,138452,13,21,2,4,2,No,3,No
246,55,Sales,Analyst,75751,24,37,2,1,1,No,0,No
247,45,Finance,Manager,146311,7,27,4,4,1,Yes,4,No
248,49,R&D,Lead,98915,17,29,2,2,2,No,0,No
249,38,R&D,Executive,74254,18,20,3,4,4,No,5,No
250,38,IT,Analyst,27006,15,25,2,1,4,No,0,Yes
251,22,Sales,Analyst,138171,1,6,2,3,2,No,0,No
252,55,Finance,Executive,136682,7,36,4,1,2,No,0,No
253,36,IT,Lead,94218,21,2,4,3,3,No,0,No
254,56,Sales,Associate,85344,5,22,1,3,1,Yes,3,Yes
255,53,R&D,Executive,53840,11,32,1,4,3,Yes,4,Yes
256,24,Finance,Lead,52430,14,16,4,4,2,No,5,No
257,53,Finance,Executive,43091,24,18,2,4,3,No,0,No
258,34,R&D,Executive,146053,7,5,2,2,2,No,0,No
259,41,HR,Manager,52983,3,36,1,4,3,No,0,No
260,40,Sales,Lead,43989,14,30,1,2,3,No,0,No
261,28,Finance,Associate,95451,19,19,1,4,4,No,1,No
262,27,Sales,Manager,128088,24,23,3,3,2,Yes,1,No
263,23,Finance,Executive,38990,16,34,3,2,3,Yes,2,No
264,37,HR,Executive,110270,12,13,1,1,1,No,0,No
265,53,HR,Executive,100360,17,29,2,2,3,No,2,No
266,32,R&D,Lead,139469,1,36,1,2,3,No,3,Yes
267,42,Sales,Lead,56081,12,22,3,1,1,No,2,No
268,42,Sales,Manager,31033,12,36,2,2,2,Yes,4,Yes
269,50,Sales,Associate,128272,21,9,3,3,4,No,1,No
270,58,Sales,Manager,36241,14,39,2,4,4,Yes,1,No
271,58,IT,Analyst,144932,19,19,3,1,4,No,0,No
272,28,R&D,Executive,142451,9,38,2,4,1,No,0,No
273,47,Sales,Executive,25939,2,6,2,3,3,No,3,No
274,47,Finance,Executive,133000,18,15,2,1,2,No,5,No
275,54,Finance,Manager,67562,2,20,2,4,3,Yes,3,No
276,41,Finance,Manager,55063,21,9,4,4,4,No,4,No
277,50,Finance,Executive,140373,13,32,3,3,3,No,0,No
278,53,Sales,Manager,120000,7,4,3,4,1,No,0,No
279,48,R&D,Lead,96721,22,18,4,3,1,No,3,No
280,53,IT,Lead,47045,3,5,2,2,2,No,3,No
281,25,IT,Manager,136634,19,20,2,3,2,No,3,No
282,39,Sales,Executive,64769,10,23,3,2,4,Yes,1,No
283,24,IT,Manager,67118,10,11,4,1,2,No,2,No
284,55,Sales,Manager,104703,10,37,2,4,3,Yes,2,No
285,37,Sales,Manager,121948,1,22,2,3,1,No,0,Yes
286,48,R&D,Analyst,41625,16,4,2,3,1,No,1,No
287,50,HR,Lead,124724,8,29,1,4,1,No,3,No
288,49,HR,Associate,148557,1,34,4,4,2,No,0,No
289,26,Sales,Associate,47076,23,13,2,1,1,No,1,No
290,55,Finance,Analyst,142245,14,9,1,1,1,Yes,4,Yes
291,57,Sales,Manager,84805,15,31,4,3,1,No,5,No
292,44,Sales,Analyst,64605,24,7,2,1,4,No,1,No
293,49,Finance,Analyst,104565,3,4,3,2,4,No,0,No
294,51,Finance,Executive,108509,7,19,1,1,2,Yes,2,Yes
295,55,Finance,Lead,59121,8,30,1,1,1,No,3,No
296,53,IT,Associate,85101,4,31,2,3,2,No,5,No
297,41,IT,Manager,51433,15,35,2,2,1,No,4,Yes
298,52,HR,Associate,63309,12,21,1,1,1,No,5,No
299,43,Sales,Associate,87468,6,31,3,2,1,No,5,No
300,53,R&D,Lead,64254,19,19,3,2,2,No,1,No
301,23,R&D,Associate,87293,16,31,4,2,2,No,0,No
302,38,Sales,Associate,116258,2,32,2,4,1,Yes,0,No
303,45,IT,Analyst,57853,4,2,3,4,3,Yes,5,No
304,51,R&D,Lead,58405,18,10,4,4,2,No,3,No
305,23,Sales,Executive,86652,11,2,3,4,4,Yes,0,No
306,44,Sales,Manager,63527,6,2,2,3,2,No,5,No
307,52,IT,Associate,97227,8,24,4,1,1,No,0,No
308,42,Sales,Manager,20492,5,17,4,4,3,Yes,3,No
309,43,Finance,Executive,113418,16,32,4,3,1,No,4,No
310,22,R&D,Manager,28811,15,16,3,1,4,No,5,No
311,47,R&D,Executive,113344,22,16,2,4,2,No,2,No
312,22,HR,Analyst,44272,2,39,4,1,2,No,2,No
313,46,IT,Associate,113935,20,31,1,4,1,No,5,No
314,37,R&D,Executive,92010,3,24,2,3,1,No,1,No
315,53,IT,Manager,112492,9,1,1,2,4,No,4,No
316,29,HR,Associate,67153,4,11,1,2,3,No,1,No
317,59,Sales,Analyst,128042,20,21,4,1,4,Yes,2,No
318,49,Finance,Associate,74110,21,4,4,3,3,Yes,3,No
319,46,IT,Executive,33979,9,7,3,2,2,No,5,No
320,55,IT,Analyst,130059,11,26,3,4,3,Yes,0,No
321,45,Finance,Manager,128101,9,12,3,2,3,Yes,2,No
322,44,Finance,Analyst,48328,12,31,2,1,2,No,4,No
323,33,IT,Analyst,132911,10,17,3,1,2,Yes,2,No
324,27,IT,Lead,32867,21,33,1,3,2,No,4,No
325,56,IT,Analyst,79234,15,11,3,1,4,No,4,No
326,40,IT,Analyst,45851,7,28,4,2,2,No,5,No
327,21,HR,Associate,51279,7,32,3,2,1,No,4,No
328,28,IT,Manager,137431,24,1,2,2,2,Yes,1,Yes
329,36,Sales,Associate,116063,7,28,2,2,2,No,3,Yes
330,34,Finance,Associate,93402,12,7,1,3,2,No,2,No
331,32,Finance,Executive,35449,1,2,2,4,3,No,3,No
332,43,Sales,Associate,96221,11,24,3,4,4,No,0,No
333,35,IT,Lead,109080,9,4,4,3,2,No,2,No
334,48,Sales,Lead,25451,11,19,2,1,4,No,3,No
335,54,R&D,Executive,107178,10,26,1,4,1,Yes,3,Yes
336,22,IT,Manager,61316,14,11,3,1,1,No,5,No
337,52,Sales,Manager,83064,15,11,1,4,2,No,5,No
338,43,IT,Associate,83761,16,3,2,1,1,Yes,0,Yes
339,42,IT,Associate,125490,1,12,2,3,4,No,4,No
340,45,R&D,Associate,58870,17,3,1,2,3,Yes,2,Yes
341,42,Sales,Manager,116566,11,27,3,1,2,No,5,No
342,42,Sales,Analyst,143749,18,2,2,2,1,No,2,Yes
343,26,HR,Lead,143765,22,16,4,1,4,Yes,0,No
344,35,Finance,Analyst,144881,17,2,2,1,4,No,5,No
345,57,HR,Analyst,50873,16,30,3,1,1,Yes,5,No
346,53,Sales,Manager,148389,5,20,2,1,4,No,4,No
347,28,HR,Analyst,78627,24,38,1,1,4,Yes,2,Yes
348,25,R&D,Executive,86155,14,28,2,2,2,No,2,Yes
349,59,IT,Associate,119186,2,25,2,1,4,No,2,No
350,24,Sales,Executive,45372,5,32,3,2,1,No,4,No
351,26,IT,Lead,23642,2,10,1,3,2,No,5,No
352,52,R&D,Associate,149148,0,33,3,4,1,No,0,No
353,50,Finance,Analyst,48001,12,13,2,1,3,No,2,No
354,55,R&D,Lead,54064,20,37,4,4,1,No,3,No
355,36,HR,Associate,114826,13,16,2,2,1,No,4,No
356,33,Finance,Analyst,34122,12,22,3,3,2,No,1,No
357,50,Sales,Executive,44820,3,20,4,3,4,Yes,0,No
358,39,Finance,Associate,88431,6,27,3,3,1,No,3,No
359,37,IT,Analyst,75745,21,16,3,4,2,Yes,2,No
360,39,Sales,Executive,70081,9,34,1,2,3,No,1,No
361,48,R&D,Lead,90902,6,32,4,1,2,No,0,No
362,46,IT,Lead,28711,20,26,2,1,2,No,4,Yes
363,57,Sales,Lead,105132,14,25,3,2,4,Yes,1,No
364,46,HR,Lead,38793,14,2,2,4,1,Yes,5,No
365,43,R&D,Manager,28199,3,12,1,1,3,No,1,Yes
366,29,HR,Associate,96253,22,9,1,2,2,No,3,No
367,32,Sales,Associate,56191,22,12,4,1,1,No,0,No
368,21,Finance,Manager,30211,5,26,1,3,1,No,3,Yes
369,21,Finance,Analyst,131086,23,9,1,1,2,No,3,No
370,54,Finance,Analyst,83069,19,10,2,4,1,No,2,No
371,52,IT,Lead,108896,4,32,1,2,2,Yes,4,Yes
372,45,Sales,Executive,76746,19,34,1,4,2,No,1,No
373,21,IT,Analyst,41542,11,20,3,2,2,Yes,0,No
374,36,Sales,Executive,51312,0,39,1,3,3,No,5,No
375,59,Sales,Associate,65242,7,2,3,2,2,Yes,4,No
376,25,R&D,Executive,121971,0,1,1,1,4,No,4,Yes
377,42,R&D,Associate,113783,4,36,1,1,1,Yes,0,Yes
378,49,IT,Manager,145681,21,24,4,3,3,Yes,4,No
379,23,IT,Manager,107893,5,27,4,2,1,No,2,No
380,32,R&D,Lead,75388,20,2,3,3,3,Yes,4,No
381,46,Sales,Analyst,126581,2,31,1,1,4,Yes,2,Yes
382,36,Finance,Lead,47691,14,14,2,4,3,No,1,No
383,57,R&D,Associate,97960,4,2,4,3,3,Yes,1,No
384,42,R&D,Lead,104388,23,29,2,4,3,Yes,3,No
385,49,Sales,Executive,42601,13,15,4,4,1,No,2,No
386,34,IT,Associate,138307,17,12,4,2,2,No,5,No
387,48,IT,Manager,38020,15,37,1,3,1,No,1,No
388,25,Sales,Analyst,28155,5,28,4,4,2,No,4,No
389,50,Sales,Associate,89119,24,20,2,4,1,No,0,No
390,25,IT,Associate,101051,23,39,4,2,4,Yes,0,Yes
391,32,IT,Executive,56777,13,24,3,2,4,No,2,No
392,36,Sales,Analyst,39710,23,21,1,1,3,No,5,Yes
393,46,Finance,Manager,128714,7,10,1,4,4,No,3,No
394,46,Sales,Associate,44532,6,14,3,1,3,No,4,No
395,41,R&D,Associate,148727,7,37,3,4,2,Yes,2,No
396,59,Finance,Executive,38601,12,18,3,1,4,No,0,No
397,56,R&D,Lead,83227,5,24,4,2,2,No,2,No
398,53,HR,Manager,24967,17,14,1,3,1,No,4,No
399,50,R&D,Analyst,104289,1,34,3,2,2,Yes,5,Yes
400,57,Sales,Associate,40022,7,12,4,1,1,Yes,5,No
401,43,Finance,Associate,63463,10,22,3,1,2,Yes,1,No
402,30,R&D,Manager,94671,0,6,2,3,2,No,4,No
403,25,Finance,Lead,25722,21,36,2,4,4,Yes,1,Yes
404,56,Sales,Associate,47413,5,36,1,1,2,Yes,1,Yes
405,54,Sales,Manager,112772,15,22,4,1,4,No,1,No
406,51,Sales,Executive,101050,19,14,2,1,4,Yes,2,Yes
407,30,IT,Lead,129432,11,16,2,3,3,No,0,No
408,39,R&D,Analyst,122748,10,36,4,2,3,No,5,No
409,52,Finance,Associate,125922,9,25,3,1,1,No,2,No
410,21,R&D,Manager,105867,2,32,4,3,2,No,0,No
411,25,Finance,Executive,103596,12,33,3,1,1,No,5,No
412,24,Sales,Analyst,86732,2,36,2,4,2,No,4,No
413,36,Finance,Manager,32297,14,20,2,3,3,Yes,5,Yes
414,44,IT,Manager,88323,15,18,2,1,3,Yes,5,Yes
415,36,IT,Analyst,43816,12,38,1,3,2,Yes,5,Yes
416,22,IT,Executive,144341,16,3,1,1,2,No,3,No
417,48,IT,Executive,60695,2,23,1,2,3,No,4,Yes
418,52,HR,Lead,39702,19,32,4,1,3,No,2,No
419,47,Sales,Associate,45242,10,16,2,3,1,No,2,No
420,40,Sales,Analyst,75841,20,5,2,4,3,Yes,0,No
421,44,Finance,Analyst,148498,18,4,4,4,2,No,2,No
422,32,HR,Analyst,87712,21,21,1,4,1,No,1,No
423,55,IT,Executive,105663,10,14,4,1,2,Yes,5,No
424,53,R&D,Associate,127096,15,39,1,2,4,No,2,Yes
425,53,Sales,Lead,112764,20,31,2,1,1,Yes,0,Yes
426,57,Sales,Manager,73574,2,14,3,4,2,No,0,No
427,32,IT,Manager,105744,21,6,1,3,3,No,1,No
428,23,R&D,Analyst,48482,5,12,2,4,4,Yes,0,Yes
429,21,Sales,Associate,29171,13,16,2,3,2,No,3,No
430,53,R&D,Executive,120755,23,17,3,2,1,No,5,No
431,30,Sales,Associate,118932,17,23,2,3,2,No,5,No
432,49,HR,Associate,128125,16,14,2,1,4,No,5,No
